"","cits","conds","X1","X2","X3","X4","X5","X6"
"1","Barts","ang",0.408173811077807,0.0485212569316081,0.0171517671517672,0.0148514851485149,0.0106257378984652,0.010989010989011
"2","Barts","hat",0.320252381529918,0.0304990757855823,0.0150727650727651,0.0121512151215122,0.00865800865800866,0.00934065934065934
"3","Barts","hyp",0.146517284755776,0.342421441774492,0.272869022869023,0.227722772277228,0.205037386855569,0.172527472527473
"4","Barts","str",0.440511637822962,0.0318853974121996,0.00831600831600832,0.00765076507650765,0.00629673356946084,0.00769230769230769
"5","Birmingham","ang",0.213724341820478,0.0513767629281397,0.0310063784549965,0.0207312476441764,0.0102266445550028,0.0146520146520147
"6","Birmingham","hat",0.210225786173229,0.0379449294828744,0.0210843373493976,0.0137580098002262,0.0105030403537866,0.010989010989011
"7","Birmingham","hyp",0.0926612286676873,0.355607790463398,0.293231750531538,0.248586505842443,0.185461580983969,0.186813186813187
"8","Birmingham","str",0.233241485927542,0.0293821356615178,0.0150602409638554,0.0111194873727855,0.00608070757324489,0.00488400488400488
"9","Bristol","ang",0.294441841727294,0.0397585039022235,0.0217823855901141,0.0156552168707984,0.00857857738591684,0.00725041829336308
"10","Bristol","hat",0.280866512376244,0.0313650419673097,0.0207351555136664,0.0116032783865918,0.00857857738591684,0.00278862242052426
"11","Bristol","hyp",0.1141572248874,0.32734501546164,0.27803958529689,0.218160051570126,0.186345764327416,0.158951477969883
"12","Bristol","str",0.312914277661468,0.0251803858047416,0.0143470520473348,0.00819596647941799,0.00476587632550935,0.00780814277746793
"13","Bury","ang",0.246433070462992,0.0721586575133486,0.0352613671512527,0.0217056913348146,0.0144736842105263,0.00798722044728434
"14","Bury","hat",0.197739674065243,0.0497330282227307,0.0269099907206929,0.0203384036916766,0.0121052631578947,0.0159744408945687
"15","Bury","hyp",0.0804255712377174,0.355453852021358,0.302041447571915,0.240642625192275,0.21,0.196485623003195
"16","Bury","str",0.192797437002543,0.0286803966437834,0.0208784410763996,0.0100837463681422,0.00763157894736842,0.00638977635782748
"17","Cardiff","ang",0.301176534679897,0.0624075717243419,0.0360117589416952,0.0191464821222607,0.0102105934907467,0.0105263157894737
"18","Cardiff","hat",0.319889998342191,0.04673173617273,0.0230279274865262,0.00991926182237601,0.0108487555839183,0.0087719298245614
"19","Cardiff","hyp",0.109345735067936,0.372079266489204,0.309407153356198,0.245444059976932,0.201021059349075,0.175438596491228
"20","Cardiff","str",0.297196907845101,0.0295770482105886,0.0149436550710436,0.0101499423298731,0.00446713465220166,0.00701754385964912
"21","Croydon","ang",0.230423982432451,0.0355191256830601,0.0241697779524465,0.0169407894736842,0.0136030694105337,0.0119331742243437
"22","Croydon","hat",0.21824892572038,0.0275707898658718,0.0192572214580468,0.0146381578947368,0.0102895012207883,0.0100238663484487
"23","Croydon","hyp",0.100514553315594,0.341778440139096,0.311259579485164,0.271217105263158,0.222183467038716,0.178520286396181
"24","Croydon","str",0.262660298468822,0.0243417784401391,0.0119866378463352,0.0100328947368421,0.00819672131147541,0.00859188544152745
"25","Edinburgh","ang",0.400554019637878,0.0682777138473341,0.0363376251788269,0.0204131227217497,0.0121753246753247,0.00464252553389044
