State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke
Kansas,>100000,31.55,91.43,2.67,3.36,1.49
Kansas,Unknown,40.76,80.19,5.39,5.54,4.77
Kentucky,18-31000,51.1,83.51,9.65,9.43,6.48
Kentucky,31-52000,46.28,86.7,7.17,7.56,2.74
Kentucky,52-100000,48.78,88.09,5.5,7.54,3.05
Kentucky,<18000,63.16,83.47,15.1,14.49,12.14
Kentucky,>100000,38.11,91.02,4.76,5.16,1.61
Kentucky,Unknown,49.56,85.33,8.29,7.1,5.68
Louisiana,18-31000,56.92,83.58,8.83,10.42,8.58
Louisiana,31-52000,47.04,85.38,6.72,6.52,3.16
Louisiana,52-100000,45.42,88.11,5.07,4.48,2.14
Louisiana,<18000,64.79,82.58,11.43,13.97,13.25
Louisiana,>100000,35.65,88.76,3.88,4.29,1.43
Louisiana,Unknown,48.2,82.66,7.42,6.32,5.45
Maine,18-31000,47.43,90.08,8.92,8.49,5.44
Maine,31-52000,40.96,89.8,6.35,6.02,3.45
Maine,52-100000,37.14,94.29,4.04,4.74,2.79
Maine,<18000,51.31,87.14,11.43,11.07,9.88
Maine,>100000,32.3,95.09,2.97,3.15,1.67
Maine,Unknown,40.73,86.29,5.24,5.95,3.93
Maryland,18-31000,55.4,91.2,9.39,9.92,7.93
Maryland,31-52000,53.04,92.57,6.39,5.67,4.07
Maryland,52-100000,43.8,93.24,4.96,5.76,3.75
Maryland,<18000,57.21,86.91,10.29,11.47,8.68
Maryland,>100000,35.27,95.35,2.88,3.58,1.97
Maryland,Unknown,46.05,91.0,6.9,6.29,5.26
Massachusetts,18-31000,44.74,86.3,7.34,7.28,5.78
Massachusetts,31-52000,38.46,86.57,6.89,6.08,3.67
Massachusetts,52-100000,35.76,90.84,4.28,3.78,2.19
Massachusetts,<18000,43.99,84.46,9.82,7.62,6.89
Massachusetts,>100000,25.97,92.22,2.18,2.76,1.09
Massachusetts,Unknown,34.97,83.64,4.23,4.7,3.24
Michigan,18-31000,46.26,84.31,8.26,8.11,5.47
Michigan,31-52000,44.76,90.15,5.93,6.29,5.01
Michigan,52-100000,36.81,88.85,4.73,4.89,3.05
Michigan,<18000,46.74,77.53,9.29,7.77,7.07
Michigan,>100000,30.32,91.93,2.66,3.74,1.46
Michigan,Unknown,40.03,83.12,4.9,5.92,5.04
Minnesota,18-31000,39.14,81.2,8.07,6.45,5.09
Minnesota,31-52000,36.18,84.92,4.5,5.17,2.42
Minnesota,52-100000,32.63,89.21,4.05,4.52,2.1
Minnesota,<18000,41.73,76.15,7.76,6.07,6.19
Minnesota,>100000,24.46,90.82,2.07,2.43,1.38
Minnesota,Unknown,36.34,83.36,4.7,4.89,3.64
Mississippi,18-31000,57.92,85.09,7.81,7.92,7.04
Mississippi,31-52000,51.74,89.91,7.1,7.26,4.1
Mississippi,52-100000,45.85,88.87,3.99,5.32,3.49
Mississippi,<18000,69.56,81.92,11.21,9.51,10.68
Mississippi,>100000,41.73,91.89,2.88,3.95,1.81
Mississippi,Unknown,56.4,86.46,7.1,6.16,7.84
Missouri,18-31000,48.81,82.72,11.05,9.14,8.08
Missouri,31-52000,44.63,86.62,6.25,6.58,4.39
Missouri,52-100000,43.41,88.98,5.29,4.75,3.67
Missouri,<18000,52.97,78.86,10.83,9.91,12.81
Missouri,>100000,33.66,91.63,3.6,4.05,2.51
Missouri,Unknown,46.36,84.64,7.06,6.45,7.68
Montana,18-31000,44.23,81.94,8.31,7.19,5.87
Montana,31-52000,38.32,85.88,5.81,4.86,4.51
Montana,52-100000,33.46,88.52,4.4,3.66,2.69
Montana,<18000,46.26,76.77,9.9,6.06,9.29
Montana,>100000,27.44,90.33,2.54,3.01,1.51
Montana,Unknown,38.68,82.03,5.04,4.49,4.31
Nebraska,18-31000,44.0,80.57,7.65,7.24,5.02
Nebraska,31-52000,39.73,84.65,5.22,5.07,3.05
Nebraska,52-100000,35.29,88.44,4.14,4.03,2.2
Nebraska,<18000,45.83,74.4,9.95,10.19,8.19
Nebraska,>100000,29.08,90.17,2.72,3.17,1.75
Nebraska,Unknown,41.46,79.97,6.28,6.32,3.9
Nevada,18-31000,38.33,80.03,7.49,5.14,4.7
Nevada,31-52000,38.61,86.08,6.65,6.33,3.48
Nevada,52-100000,38.35,90.12,5.41,4.24,3.53
Nevada,<18000,42.13,77.66,9.14,7.61,9.14
Nevada,>100000,32.12,92.2,4.3,4.97,1.88
Nevada,Unknown,36.98,82.41,5.75,5.21,3.95
New Hampshire,18-31000,48.11,90.44,9.95,10.18,7.86
New Hampshire,31-52000,47.44,93.38,6.74,7.24,2.87
New Hampshire,52-100000,35.93,92.62,5.06,5.58,2.74
New Hampshire,<18000,52.04,85.61,11.27,11.27,7.43
New Hampshire,>100000,29.64,94.39,2.71,2.95,1.38
New Hampshire,Unknown,41.98,89.66,5.77,5.91,2.6
New Jersey,18-31000,44.29,85.4,7.55,7.01,5.35
New Jersey,31-52000,41.48,87.02,5.14,5.59,3.43
New Jersey,52-100000,38.31,89.53,4.97,4.75,2.23
New Jersey,<18000,45.44,80.97,5.19,7.55,5.19
New Jersey,>100000,31.93,93.51,2.51,3.39,1.46
New Jersey,Unknown,38.56,86.67,5.06,4.91,3.64
New Mexico,18-31000,40.53,80.02,7.62,5.79,5.11
New Mexico,31-52000,41.83,88.57,6.03,5.9,3.27
New Mexico,52-100000,37.78,88.92,4.41,4.65,2.5
New Mexico,<18000,46.17,75.09,8.02,6.68,7.29
New Mexico,>100000,32.18,90.38,3.31,2.78,1.65
New Mexico,Unknown,39.52,81.77,6.64,6.01,4.0
New York,18-31000,43.2,84.6,7.15,6.93,5.28
New York,31-52000,39.2,88.26,5.22,5.62,3.42
New York,52-100000,35.84,91.59,4.43,4.43,1.99
New York,<18000,46.27,82.68,8.26,7.46,6.57
New York,>100000,29.04,92.92,2.66,3.55,1.35
New York,Unknown,38.05,83.22,5.92,5.7,3.95
North Carolina,18-31000,46.69,81.36,6.98,7.16,5.5
North Carolina,31-52000,40.62,88.07,4.69,5.23,2.82
North Carolina,52-100000,34.8,87.87,2.7,4.9,2.21
North Carolina,<18000,52.11,78.41,9.25,10.06,9.09
North Carolina,>100000,31.79,93.28,3.36,3.92,1.75
North Carolina,Unknown,41.13,84.55,5.96,6.11,5.08
North Dakota,18-31000,49.69,82.14,8.52,7.8,5.13
North Dakota,31-52000,40.94,86.45,7.36,5.6,2.95
North Dakota,52-100000,37.32,86.22,5.72,5.07,2.47
North Dakota,<18000,56.77,81.58,14.66,10.53,10.53
North Dakota,>100000,30.92,89.24,2.5,3.07,1.34
North Dakota,Unknown,42.84,84.18,4.93,4.93,4.48
Ohio,18-31000,53.14,86.34,10.66,9.05,7.34
Ohio,31-52000,47.4,88.34,6.87,6.73,4.44
Ohio,52-100000,42.46,91.68,4.94,5.21,3.11
Ohio,<18000,54.57,82.5,13.08,12.68,10.32
Ohio,>100000,32.82,92.45,3.21,3.36,1.45
Ohio,Unknown,45.87,88.13,7.45,6.64,6.26
Oklahoma,18-31000,56.7,85.78,10.36,9.88,8.14
Oklahoma,31-52000,51.21,90.07,6.51,6.84,4.3
Oklahoma,52-100000,46.59,90.29,7.4,6.59,4.28
Oklahoma,<18000,58.6,81.89,15.83,11.87,12.94
Oklahoma,>100000,36.46,92.75,4.48,4.55,1.92
Oklahoma,Unknown,44.32,80.48,7.12,6.48,5.76
Oregon,18-31000,44.23,82.82,7.72,8.38,6.8
Oregon,31-52000,39.82,87.57,4.64,5.09,4.19
Oregon,52-100000,37.27,89.06,3.74,3.88,2.45
Oregon,<18000,42.82,77.62,6.81,5.35,6.81
Oregon,>100000,28.55,91.81,1.88,2.9,1.38
Oregon,Unknown,36.14,80.89,4.67,5.09,5.5
Pennsylvania,18-31000,45.79,84.48,7.8,8.27,5.93
Pennsylvania,31-52000,38.73,84.08,6.06,4.79,3.66
Pennsylvania,52-100000,34.64,88.98,4.9,5.26,3.43
Pennsylvania,<18000,47.31,82.2,11.71,8.2,8.9
Pennsylvania,>100000,28.34,88.95,2.43,2.83,1.78
Pennsylvania,Unknown,38.61,84.7,6.56,5.62,4.47
Puerto Rico,18-31000,48.18,86.07,3.77,7.53,1.79
Puerto Rico,31-52000,41.12,89.72,1.87,4.67,0.62
Puerto Rico,52-100000,47.59,97.33,3.21,4.28,2.67
Puerto Rico,<18000,54.13,85.21,6.87,10.37,2.88
Puerto Rico,>100000,39.76,96.99,3.01,5.42,1.81
Puerto Rico,Unknown,48.49,81.83,4.88,8.93,2.7
Rhode Island,18-31000,49.63,87.8,8.0,7.58,4.78
Rhode Island,31-52000,44.22,92.08,5.07,5.55,2.54
Rhode Island,52-100000,40.29,92.02,3.72,4.65,0.93
Rhode Island,<18000,52.96,85.66,12.62,10.52,8.22
Rhode Island,>100000,32.09,95.1,3.0,4.03,1.38
Rhode Island,Unknown,43.06,87.34,5.91,4.85,3.56
