State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Washington,52-100000,39.18,89.58,5.12,5.63,3.01,11.39,35.62,6.14,13.98
Washington,<18000,43.41,76.99,9.18,7.61,6.86,16.88,46.94,19.76,22.36
Washington,>100000,30.52,91.85,2.49,3.29,2.05,7.27,25.7,2.73,12.83
Washington,Unknown,39.04,82.18,5.26,4.88,4.74,11.3,35.05,6.94,14.65
West Virginia,18-31000,51.35,87.34,10.38,10.31,6.44,19.86,51.21,18.48,17.16
West Virginia,31-52000,44.43,90.05,5.57,7.03,4.38,15.38,40.32,11.54,11.8
West Virginia,52-100000,45.66,92.02,5.88,8.26,2.52,13.31,35.71,6.02,10.64
West Virginia,<18000,54.89,81.65,13.46,12.39,10.7,23.7,60.86,28.44,24.01
West Virginia,>100000,34.59,91.56,3.21,3.85,1.83,10.0,28.07,4.68,10.18
West Virginia,Unknown,47.65,83.65,9.23,10.02,6.1,15.96,41.16,15.41,14.87
Wisconsin,18-31000,48.93,84.4,8.47,8.27,5.33,15.47,41.47,11.07,14.2
Wisconsin,31-52000,39.75,87.14,4.17,5.68,3.94,10.31,33.72,5.1,11.47
Wisconsin,52-100000,36.34,88.81,4.06,4.26,2.08,8.91,27.33,3.07,11.09
Wisconsin,<18000,47.18,79.96,10.02,9.39,8.14,18.16,49.27,16.7,23.38
Wisconsin,>100000,27.84,91.17,2.42,3.29,0.75,5.9,20.2,1.8,11.37
Wisconsin,Unknown,38.36,87.07,3.74,4.31,3.16,12.21,32.76,5.75,13.79
Wyoming,18-31000,46.84,85.41,11.43,9.16,6.48,15.15,45.54,15.48,14.67
Wyoming,31-52000,44.96,88.94,7.09,6.67,3.12,13.76,38.72,11.21,11.91
Wyoming,52-100000,39.27,90.15,4.42,5.3,3.16,11.49,32.45,8.96,10.1
Wyoming,<18000,49.68,77.42,14.19,10.0,9.68,19.03,50.0,21.61,18.39
Wyoming,>100000,30.33,91.7,3.51,2.43,1.5,7.37,26.32,2.93,10.09
Wyoming,Unknown,43.0,85.99,9.3,6.76,5.39,13.32,38.49,10.09,10.28
