State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Guam,52-100000,36.06,90.87,3.85,4.33,0.96,12.98,17.79,5.29,11.54
Guam,<18000,32.86,63.85,4.69,4.23,4.23,13.15,16.43,2.82,14.55
Guam,>100000,29.65,88.64,2.21,2.52,1.89,9.46,17.67,2.21,10.73
Guam,Unknown,29.41,66.67,3.27,1.96,1.96,7.84,13.07,1.96,14.38
Hawaii,18-31000,36.24,74.77,5.26,4.05,4.42,10.89,24.86,6.96,16.76
Hawaii,31-52000,37.07,81.75,4.7,4.14,3.47,10.75,25.2,4.82,15.45
Hawaii,52-100000,36.23,86.0,2.46,2.84,2.55,9.56,23.65,4.26,14.29
Hawaii,<18000,39.94,73.48,6.55,6.07,7.03,14.06,27.64,9.42,18.05
Hawaii,>100000,34.77,90.51,2.52,2.92,2.25,8.55,24.79,3.78,14.71
Hawaii,Unknown,37.16,77.52,2.75,1.99,3.36,10.09,21.71,4.28,14.83
Idaho,18-31000,44.33,81.68,7.5,6.47,4.55,13.26,39.59,9.55,13.9
Idaho,31-52000,42.82,85.05,4.78,5.14,3.59,10.77,37.44,5.38,12.2
Idaho,52-100000,36.27,88.5,4.35,3.12,1.34,10.04,30.47,3.79,12.83
Idaho,<18000,50.37,74.81,8.58,5.97,8.4,18.28,44.03,16.98,19.22
Idaho,>100000,31.83,91.0,3.03,3.27,1.23,7.36,24.88,2.54,11.46
Idaho,Unknown,41.15,80.29,6.76,4.75,5.47,14.96,39.57,6.04,13.24
Illinois,18-31000,48.96,84.61,7.34,8.21,6.06,18.5,38.44,11.8,14.19
Illinois,31-52000,41.48,85.37,5.88,6.64,4.68,11.92,34.84,6.49,14.03
Illinois,52-100000,41.29,89.03,4.66,6.04,3.16,12.76,34.16,5.49,11.93
Illinois,<18000,45.91,80.17,11.42,9.27,8.84,19.83,37.93,15.52,18.1
Illinois,>100000,30.26,91.07,2.23,3.96,1.23,7.2,22.67,3.07,12.12
Illinois,Unknown,37.25,82.35,5.04,3.64,3.92,14.85,32.21,5.04,13.73
Indiana,18-31000,51.76,85.55,9.97,9.5,7.67,19.2,44.23,13.7,14.45
Indiana,31-52000,42.25,89.35,8.28,7.1,4.14,15.03,36.92,8.05,12.43
Indiana,52-100000,43.23,90.34,5.18,6.83,2.94,13.55,33.8,4.48,9.89
Indiana,<18000,52.58,78.59,13.96,11.66,11.28,20.46,52.39,24.67,20.84
Indiana,>100000,32.26,91.85,3.23,4.36,1.34,7.8,24.74,3.87,12.3
Indiana,Unknown,45.25,87.54,9.07,7.87,6.89,15.41,42.08,10.38,11.69
Iowa,18-31000,50.3,84.45,7.37,6.92,4.61,16.82,42.86,11.98,11.24
Iowa,31-52000,41.21,86.1,7.01,5.82,3.8,13.78,33.97,7.01,11.4
Iowa,52-100000,35.84,87.25,4.36,4.68,1.63,8.39,30.61,3.38,11.44
Iowa,<18000,50.0,81.37,12.01,9.31,6.86,21.08,49.26,20.34,19.85
Iowa,>100000,29.4,92.27,2.14,3.02,1.32,6.47,24.56,2.01,9.74
Iowa,Unknown,39.53,82.63,6.48,4.13,4.23,13.33,37.18,6.95,10.52
Kansas,18-31000,44.62,79.05,7.83,7.07,5.46,16.37,37.45,11.3,13.99
Kansas,31-52000,43.1,85.08,5.44,5.74,3.75,12.3,33.69,6.86,12.4
Kansas,52-100000,38.31,87.08,4.33,4.97,2.57,11.18,29.38,5.46,12.45
Kansas,<18000,49.52,74.52,11.03,9.52,9.25,20.96,43.84,19.32,21.58
Kansas,>100000,31.55,91.43,2.67,3.36,1.49,7.69,22.68,2.64,10.15
Kansas,Unknown,40.76,80.19,5.39,5.54,4.77,12.47,33.2,8.11,12.85
Kentucky,18-31000,51.1,83.51,9.65,9.43,6.48,19.15,46.32,17.97,17.82
Kentucky,31-52000,46.28,86.7,7.17,7.56,2.74,15.78,35.07,10.82,13.69
Kentucky,52-100000,48.78,88.09,5.5,7.54,3.05,14.87,34.52,8.86,11.71
Kentucky,<18000,63.16,83.47,15.1,14.49,12.14,27.45,58.16,31.33,28.98
Kentucky,>100000,38.11,91.02,4.76,5.16,1.61,10.45,26.66,4.62,11.79
Kentucky,Unknown,49.56,85.33,8.29,7.1,5.68,16.17,42.21,13.69,15.64
Louisiana,18-31000,56.92,83.58,8.83,10.42,8.58,21.83,43.42,13.33,13.17
Louisiana,31-52000,47.04,85.38,6.72,6.52,3.16,13.83,34.98,6.13,12.45
Louisiana,52-100000,45.42,88.11,5.07,4.48,2.14,14.23,30.8,6.43,9.55
