"Index", "Year", "Percent"
1, 1990, 7.9
2, 1991, 8.0
3, 1992, 8.1
4, 1993, 8.2
5, 1994, 8.3
6, 1995, 8.4
7, 1996, 8.5
8, 1997, 8.6
9, 1998, 8.7
10, 1999, 8.8
11, 2000, 8.9
12, 2001, 9.0
13, 2002, 9.0
14, 2003, 9.1
15, 2004, 9.1
16, 2005, 9.2
17, 2006, 9.2
18, 2007, 9.3
19, 2008, 9.3
20, 2009, 9.4
21, 2010, 9.4
22, 2011, 9.4
23, 2012, 9.4
24, 2013, 9.5
25, 2014, 9.5
26, 2015, 9.5
27, 2016, 9.6
28, 2017, 9.6
29, 2018, 9.7
30, 2019, 9.7
31, 2020, 9.8
32, 2021, 9.9
