"Index", "Year", "Percent"
1, 1990, 9.2
2, 1991, 9.5
3, 1992, 9.7
4, 1993, 9.9
5, 1994, 9.9
6, 1995, 9.9
7, 1996, 9.8
8, 1997, 9.8
9, 1998, 9.8
10, 1999, 9.8
11, 2000, 9.7
12, 2001, 9.7
13, 2002, 9.6
14, 2003, 9.6
15, 2004, 9.5
16, 2005, 9.4
17, 2006, 9.4
18, 2007, 9.3
19, 2008, 9.2
20, 2009, 9.1
21, 2010, 9.0
22, 2011, 8.9
23, 2012, 8.9
24, 2013, 8.8
25, 2014, 8.8
26, 2015, 8.7
27, 2016, 8.6
28, 2017, 8.6
29, 2018, 8.5
30, 2019, 8.5
31, 2020, 8.4
32, 2021, 8.4
