"Index", "Year", "Percent"
1, 1990, 6.6
2, 1991, 6.7
3, 1992, 6.8
4, 1993, 6.9
5, 1994, 7.0
6, 1995, 7.1
7, 1996, 7.2
8, 1997, 7.3
9, 1998, 7.5
10, 1999, 7.6
11, 2000, 7.8
12, 2001, 8.0
13, 2002, 8.2
14, 2003, 8.4
15, 2004, 8.6
16, 2005, 8.8
17, 2006, 9.0
18, 2007, 9.2
19, 2008, 9.5
20, 2009, 9.7
21, 2010, 9.9
22, 2011, 10.1
23, 2012, 10.4
24, 2013, 10.6
25, 2014, 10.8
26, 2015, 11.0
27, 2016, 11.2
28, 2017, 11.4
29, 2018, 11.7
30, 2019, 12.0
31, 2020, 12.3
32, 2021, 12.5
