"Index", "Year", "Percent"
1, 1990, 10.8
2, 1991, 10.8
3, 1992, 10.8
4, 1993, 10.8
5, 1994, 10.8
6, 1995, 10.9
7, 1996, 10.9
8, 1997, 10.9
9, 1998, 10.9
10, 1999, 11.0
11, 2000, 11.0
12, 2001, 11.0
13, 2002, 11.1
14, 2003, 11.0
15, 2004, 11.0
16, 2005, 11.1
17, 2006, 11.1
18, 2007, 11.1
19, 2008, 11.1
20, 2009, 10.8
21, 2010, 10.6
22, 2011, 10.8
23, 2012, 10.9
24, 2013, 11.0
25, 2014, 11.0
26, 2015, 11.0
27, 2016, 11.1
28, 2017, 11.1
29, 2018, 11.1
30, 2019, 11.1
31, 2020, 11.1
32, 2021, 11.1
